日期,确诊,治愈,死亡,新增确诊
1.26,5,0,0,1
1.27,10,0,0,5
1.28,13,0,0,3
1.29,14,0,0,1
1.30,17,0,0,3
1.31,18,0,0,1
2.1,21,0,0,3
2.2,24,0,0,3
2.3,29,0,0,5
2.4,32,0,0,3
2.5,36,0,0,4
2.6,39,0,0,3
2.7,42,0,0,3
2.8,45,0,0,3
2.9,49,0,0,4
2.10,55,0,0,6
2.11,59,3,0,4
2.12,63,3,1,4
2.13,65,6,1,2
2.14,70,6,1,5
2.15,71,11,1,1
2.16,75,12,1,4
2.17,76,12,1,1
2.18,76,14,1,0
2.19,76,20,1,0
2.20,76,22,1,0
2.21,76,24,2,0
2.22,76,25,2,0
2.23,76,28,2,0
2.24,76,30,2,0
2.25,76,30,2,0
2.26,76,34,2,0
2.27,76,43,3,0
2.28,76,52,3,0
2.29,76,62,3,0
3.1,76,64,3,0
3.2,76,67,3,0
3.3,76,68,3,0
3.4,76,69,3,0
3.5,76,70,3,0
3.6,76,71,3,0
3.7,76,72,3,0
3.8,76,73,3,0
3.9,76,73,3,0
3.10,76,73,3,0
3.11,76,73,3,0
3.12,76,73,3,0
3.13,76,73,3,0
3.14,76,73,3,0
3.15,76,73,3,0
3.16,76,73,3,0
3.17,76,73,3,0
3.18,76,73,3,0
3.19,76,73,3,0
3.20,76,73,3,0
3.21,76,73,3,0
3.22,76,73,3,0
3.23,76,73,3,0
3.24,76,73,3,0
3.25,76,73,3,0
3.26,76,73,3,0
3.27,76,73,3,0
3.28,76,73,3,0
3.29,76,73,3,0
3.30,76,73,3,0
3.31,76,73,3,0
4.1,76,73,3,0
4.2,76,73,3,0
4.3,76,73,3,0
4.4,76,73,3,0
4.5,76,73,3,0
4.6,76,73,3,0
4.7,76,73,3,0
4.8,76,73,3,0
4.9,76,73,3,0
4.10,76,73,3,0
4.11,76,73,3,0
4.12,76,73,3,0
4.13,76,73,3,0
4.14,76,73,3,0
4.15,76,73,3,0
4.16,76,73,3,0
4.17,76,73,3,0
4.18,76,73,3,0
4.19,76,73,3,0
4.20,76,73,3,0
4.21,76,73,3,0
4.22,76,73,3,0
4.23,76,73,3,0
4.24,76,73,3,0
4.25,76,73,3,0
4.26,76,73,3,0
4.27,76,73,3,0
4.28,76,73,3,0
4.29,76,73,3,0
4.30,76,73,3,0
5.1,76,73,3,0
5.2,76,73,3,0
5.3,76,73,3,0
5.4,76,73,3,0
5.5,76,73,3,0
5.6,76,73,3,0
5.7,76,73,3,0
5.8,76,73,3,0
5.9,76,73,3,0
5.10,76,73,3,0
5.11,76,73,3,0
5.12,76,73,3,0
5.13,76,73,3,0
5.14,76,73,3,0
5.15,76,73,3,0
5.16,76,73,3,0
5.17,76,73,3,0
5.18,76,73,3,0
5.19,76,73,3,0
5.20,76,73,3,0
5.21,76,73,3,0
5.22,76,73,3,0
5.23,76,73,3,0
5.24,76,73,3,0
5.25,76,73,3,0
5.26,76,73,3,0
5.27,76,73,3,0
