日期,确诊,治愈,死亡,新增确诊
1.26,14,0,0,7
1.27,19,0,0,5
1.28,24,0,0,5
1.29,26,0,0,2
1.30,29,0,0,4
1.31,35,0,0,6
2.1,40,0,0,5
2.2,51,3,0,11
2.3,55,3,0,4
2.4,57,4,0,2
2.5,62,6,0,5
2.6,67,9,0,5
2.7,71,9,1,4
2.8,79,12,1,8
2.9,83,16,2,4
2.10,86,21,2,3
2.11,86,24,2,0
2.12,87,31,2,1
2.13,90,39,2,3
2.14,90,44,2,0
2.15,90,49,2,0
2.16,90,54,2,0
2.17,91,58,2,1
2.18,91,62,2,0
2.19,91,65,2,0
2.20,91,71,2,0
2.21,91,76,2,0
2.22,91,76,2,0
2.23,91,78,2,0
2.24,91,80,2,0
2.25,91,80,2,0
2.26,91,81,2,0
2.27,91,82,2,0
2.28,91,82,2,0
2.29,91,82,2,0
3.1,91,84,2,0
3.2,91,85,2,0
3.3,91,86,2,0
3.4,91,87,2,0
3.5,102,87,2,11
3.6,119,87,2,17
3.7,120,87,2,1
3.8,124,87,2,4
3.9,124,88,2,0
3.10,125,88,2,1
3.11,127,88,2,2
3.12,127,88,2,0
3.13,129,89,2,2
3.14,132,91,2,3
3.15,133,91,2,1
3.16,133,91,2,0
3.17,133,91,2,0
3.18,133,91,2,0
3.19,134,98,2,1
3.20,134,113,2,0
3.21,134,113,2,0
3.22,136,114,2,2
3.23,136,118,2,0
3.24,136,119,2,0
3.25,136,121,2,0
3.26,136,123,2,0
3.27,136,125,2,0
3.28,136,125,2,0
3.29,138,125,2,2
3.30,138,125,2,0
3.31,138,125,2,0
4.1,138,127,2,0
4.2,138,127,2,0
4.3,138,131,2,0
4.4,138,131,2,0
4.5,139,131,2,1
4.6,139,132,2,0
4.7,139,133,2,0
4.8,139,135,2,0
4.9,139,135,2,0
4.10,139,135,2,0
4.11,139,135,2,9
4.12,139,135,2,0
4.13,139,135,2,0
4.14,139,136,2,0
4.15,139,136,2,0
4.16,139,137,2,0
4.17,139,137,2,0
4.18,139,137,2,0
4.19,139,137,2,0
4.20,139,137,2,0
4.21,139,137,2,0
4.22,139,137,2,0
4.23,139,137,2,0
4.24,139,137,2,0
4.25,139,137,2,0
4.26,139,137,2,0
4.27,139,137,2,0
4.28,139,137,2,0
4.29,139,137,2,0
4.30,139,137,2,0
5.1,139,137,2,0
5.2,139,137,2,0
5.3,139,137,2,0
5.4,139,137,2,0
5.5,139,137,2,0
5.6,139,137,2,0
5.7,139,137,2,0
5.8,139,137,2,0
5.9,139,137,2,0
5.10,139,137,2,0
5.11,139,137,2,0
5.12,139,137,2,0
5.13,139,137,2,0
5.14,139,137,2,0
5.15,139,137,2,0
5.16,139,137,2,0
5.17,139,137,2,0
5.18,139,137,2,0
5.19,139,137,2,0
5.20,139,137,2,0
5.21,139,137,2,0
5.22,139,137,2,0
5.23,139,137,2,0
5.24,139,137,2,0
5.25,139,137,2,0
5.26,139,137,2,0
5.27,139,137,2,0
5.28,139,137,2,0
5.29,139,137,2,0
5.30,139,137,2,0
5.31,139,137,2,0
6.1,139,137,2,0
6.2,139,137,2,0
6.3,139,137,2,0
6.4,139,137,2,0
6.5,139,137,2,0
6.6,139,137,2,0
6.7,139,137,2,0
6.8,139,137,2,0
6.9,139,137,2,0
6.10,139,137,2,0
6.11,139,137,2,0
6.12,139,137,2,0
6.13,139,137,2,0
6.14,139,137,2,0
6.15,139,137,2,0
6.16,149,137,2,10
